post_id,text_content,hashtags,mentions,keywords,topic_category,platform_id
kcqbs6hxybia,Just tried the Chromebook from Google. Best purchase ever. #Food Really interested in hearing your thoughts!,#Food,,"price, unique, traditional, efficient",Pricing,1
vkmervg4ioos,"Just saw an ad for Microsoft Surface Laptop during the SpringBlast2025. Not worth the money. #MustHave, #Food","#MustHave, #Food","@CustomerService, @BrandCEO","delivery, slow",Delivery,2
memhx4o1x6yu,"What's your opinion about Nike's Epic React?  #Promo, #Food, #Trending Really interested in hearing your thoughts!","#Promo, #Food, #Trending",,"reliable, budget, durable, experience",Product,3
bhyo6piijqt9,"Bummed out with my new Diet Pepsi from Pepsi! Disappointed with the quality. #Reviews, #Sustainable","#Reviews, #Sustainable","@StyleGuide, @BrandSupport","improved, competitive, luxury, fast",Delivery,4
c9dkiomowakt,"Just tried the Corolla from Toyota. Absolutely loving it. #Health, #Travel Really interested in hearing your thoughts!","#Health, #Travel","@BrandSupport, @InfluencerName","innovation, budget, helpful, luxury",Product,2
e8rzr949rzkr,Nike PowerRelease is subpar! Can't wait to see what's coming next. #Discount Curious about your experience too.,#Discount,,"fast, outdated, luxury, disappointing",Pricing,3
32qywmjy84gk,"Not sure why with my new Pepsi Wild Cherry from Pepsi! Not worth the money. #Quality, #Promo, #Limited","#Quality, #Promo, #Limited",,"improved, unique, premium, durable",Support,1
wu063ci6mizp,"Just saw an ad for Coca-Cola Coke Zero during the LaunchWave. Worth every penny. #MustHave, #Discount","#MustHave, #Discount","@MarketingTeam, @InfluencerName","efficient, innovation, performance",Pricing,3
9q2i3owe4tv9,"Just tried the Coke Zero from Coca-Cola. Absolutely loving it. #Deal, #Fashion Would love to get your feedback!","#Deal, #Fashion",@TrendSetter,"sustainable, competitive",Delivery,3
gkyad7r8w6g5,"My one week review of Google Pixel Watch: Disappointed with the quality. #Tech, #SpecialOffer Curious about your experience too.","#Tech, #SpecialOffer",@BrandSupport,"disappointing, excellent, cheap",Returns,4
86ebsz8kvswz,"Just tried the Halo Band from Amazon. Best purchase ever. #Eco, #Lifestyle Let me know what you think!","#Eco, #Lifestyle",,"outdated, quality",Pricing,4
ypoxja7by9a8,"Any advice about Google's Pixel Buds? @MarketingTeam, @CelebrityName #Fitness Curious about your experience too.",#Fitness,"@MarketingTeam, @CelebrityName","poor, improved",Product,2
82sqiubyyelj,"Pepsi NewYearNewYou is excellent! Can't wait to see what's coming next. #Trending, #Discount, #Tech Let me know what you think!","#Trending, #Discount, #Tech",,"innovation, quality, cheap, stylish",Marketing,4
9zdv0moeuz23,"Just unboxed my new Halo Band from Amazon. It's okay. Thrilled #ProductLaunch, #Health Curious about your experience too.","#ProductLaunch, #Health",,"efficient, sustainable, poor",Support,5
oklsbgbowh1x,"Comparing Samsung Galaxy S25 to the competition. Not worth the money. #Premium, #Reviews, #Food Really interested in hearing your thoughts!","#Premium, #Reviews, #Food","@CelebrityName, @BrandSupport","luxury, fast",Pricing,2
atmhw74hez00,"Just unboxed my new Surface Duo from Microsoft. Disappointed with the quality. Can't contain my excitement #Discount, #Eco","#Discount, #Eco",,"stylish, efficient, customer, experience",Support,1
