post_id,user_id,time_id,brand_id,language_id,sentiment_id,sentiment_score,likes_count,shares_count,comments_count,impressions,engagement_rate,buzz_change_rate,sentiment_score,toxicity_score,user_past_sentiment_avg,user_engagement_growth
kcqbs6hxybia,user_52nwb0a6,1,1,1,1,0.9826,1264,1704,701,18991,0.19319,19.1,0.9826,0.0376,0.0953,-0.3672
vkmervg4ioos,user_ucryct98,2,2,2,2,-0.3793,522,1803,359,52764,0.05086,-42.6,-0.3793,0.9715,0.1369,-0.451
memhx4o1x6yu,user_7rrev126,3,3,2,3,-0.3596,2689,705,643,8887,0.45425,17.4,-0.3596,0.5124,0.2855,-0.4112
bhyo6piijqt9,user_4mxuq0ax,4,4,3,4,-0.7282,1827,262,743,6696,0.42293,-5.5,-0.7282,0.4002,-0.2094,-0.0167
c9dkiomowakt,user_l1vpox2k,5,5,4,5,0.546,2005,1443,703,47315,0.08773,38.8,0.546,0.0862,0.6867,0.0807
e8rzr949rzkr,user_jzvf44eq,6,6,1,6,-0.5007,3828,751,441,7734,0.64908,16.0,-0.5007,0.7113,0.9095,-0.4563
32qywmjy84gk,user_hpr07vl1,7,7,5,3,-0.5339,2814,173,974,24542,0.16139,-13.4,-0.5339,0.4716,-0.9263,-0.081
wu063ci6mizp,user_2es9a4lv,8,8,6,7,0.2034,531,1989,30,57406,0.04442,89.7,0.2034,0.7902,-0.9831,0.2152
9q2i3owe4tv9,user_omh7bn2t,9,9,2,8,0.8189,1431,369,993,85296,0.03274,-29.0,0.8189,0.6659,-0.8119,-0.1949
gkyad7r8w6g5,user_kp84hgj9,10,10,6,6,-0.6546,2132,1210,820,61572,0.06759,-56.6,-0.6546,0.8958,-0.1217,0.139
86ebsz8kvswz,user_t5kakkl8,11,11,4,9,0.6971,3944,560,247,98060,0.04844,39.6,0.6971,0.0054,-0.3424,-0.1299
ypoxja7by9a8,user_kijc9hdd,12,12,1,1,0.3591,1644,1223,337,9081,0.35282,-45.5,0.3591,0.9415,0.3807,-0.2558
82sqiubyyelj,user_9r334w6e,13,13,4,7,0.4671,3763,1273,29,32363,0.1565,92.8,0.4671,0.5449,-0.0749,0.4283
9zdv0moeuz23,user_asjb8l5s,14,14,7,10,-0.0812,3759,1394,768,14883,0.39783,23.1,-0.0812,0.1196,0.8876,0.1927
oklsbgbowh1x,user_qq52pl85,15,15,1,3,-0.3783,4653,926,749,40376,0.15672,85.1,-0.3783,0.2092,-0.7769,0.2131
atmhw74hez00,user_iguof7wd,16,16,2,6,-0.2437,4830,771,659,5940,1.05387,-42.2,-0.2437,0.8697,-0.1062,-0.2416
92e3b7jxq33k,user_8sjedyha,17,17,1,3,-0.5251,1649,18,92,12197,0.14421,-47.7,-0.5251,0.7311,-0.2424,-0.4858
w89ng3lkf85x,user_t7iq5b8i,18,18,6,9,0.6485,285,1482,474,52167,0.04295,-37.6,0.6485,0.4332,-0.4544,0.1832
ft6t9hg5wy4x,user_zv0mlw00,19,19,8,11,-0.1427,1863,702,445,98696,0.03049,-87.6,-0.1427,0.4389,0.3694,0.4349
fxtgqergvwi3,user_8t4e9hnl,20,20,9,2,-0.2965,1938,153,929,43683,0.06913,-73.9,-0.2965,0.7546,-0.0181,0.1261
wlwr29rju5j1,user_1c4iiuyo,21,21,8,6,-0.7708,1608,588,169,14255,0.1659,-26.8,-0.7708,0.1658,0.5726,-0.337
8k0ih67gu4sq,user_48zlloay,22,22,2,10,0.1441,125,554,144,448,1.83705,-51.7,0.1441,0.2738,-0.3357,0.3873
s3jm9lrx9f12,user_2623g2ql,23,23,9,6,-0.8472,2695,349,952,55896,0.07148,-3.2,-0.8472,0.8112,0.2809,0.4181
22w19kpfp2ka,user_a0z421ii,24,24,1,10,-0.175,371,706,291,93013,0.0147,99.2,-0.175,0.0649,0.3099,0.3984
4z5prni04izu,user_6u4ynijx,25,25,10,4,-0.3118,1591,619,97,48676,0.04739,-18.6,-0.3118,0.0274,-0.3005,0.2966
p6oejykhfip9,user_pb7yixll,26,26,7,9,0.5704,1087,398,130,55434,0.02913,1.3,0.5704,0.0007,0.3115,-0.3846
j19g5e2sqqch,user_o8yuaoqg,27,27,6,12,-0.9966,3625,1350,895,12541,0.46806,-80.9,-0.9966,0.7518,0.504,-0.0119
ssr74xwytax1,user_3gzwnqyf,28,28,10,2,-0.8259,3692,1144,275,89073,0.05737,-87.7,-0.8259,0.4899,0.3418,-0.0096
22g96ac6xxzj,user_epwqc2lp,29,29,6,5,0.5349,4953,1234,713,63835,0.10809,3.7,0.5349,0.865,-0.8917,-0.3792
u4sa9z41ahpt,user_kdepigo5,30,30,6,2,-0.6738,20,1299,537,18937,0.098,77.3,-0.6738,0.8946,-0.1435,0.4842
umhccxz9lqgj,user_mwtruipt,31,31,6,13,-0.0878,2737,593,895,66941,0.06311,39.0,-0.0878,0.0652,-0.8745,0.2452
msavu7mzvob2,user_w9frojsj,32,32,7,8,0.5117,4640,922,237,66615,0.08705,54.7,0.5117,0.7987,-0.9861,0.4147
8g430tw7xly2,user_nx6rmizt,33,33,10,5,0.9486,1955,1513,600,83370,0.04879,9.2,0.9486,0.768,-0.0006,-0.4608
9fi7edo1vekz,user_z9zzi99c,34,34,4,3,-0.4788,2432,1680,243,49506,0.08796,68.6,-0.4788,0.0467,-0.4698,0.3882
xj9ku39j30tr,user_11vew00l,35,35,6,1,0.9978,844,1757,158,57508,0.04797,58.4,0.9978,0.3941,0.9264,-0.0282
642fmlinklpt,user_z2r9v1ms,36,36,6,6,-0.8574,1123,715,972,29735,0.0945,-24.9,-0.8574,0.0457,0.2889,-0.0493
3wiukvbleo3w,user_5g5h720m,37,37,9,12,-0.6618,2600,553,706,84507,0.04566,-9.2,-0.6618,0.3915,-0.9374,0.3325
hg5b2snbiwbe,user_r4gu3ded,38,38,5,11,0.1604,2456,1411,771,57040,0.08131,-58.8,0.1604,0.7067,-0.718,-0.06
9dlp6yk1t3dx,user_suqwovlv,39,39,7,13,0.0924,1911,465,800,6623,0.47954,-15.6,0.0924,0.8863,-0.0801,0.2184
rru0wpvzfdko,user_krbg23md,40,40,5,5,0.6216,4512,108,25,30738,0.15111,51.5,0.6216,0.2991,-0.5088,-0.4581
mwn0zp8v9afj,user_i6k7huo7,41,41,4,9,0.6683,4859,1461,619,82045,0.08457,83.8,0.6683,0.7364,-0.6342,-0.2033
3itita1fbq1e,user_njtvacei,42,42,8,1,0.5536,2444,632,363,3453,0.99594,-3.7,0.5536,0.9897,0.0352,0.4811
tq6penfzk0zh,user_p21h3xrh,43,43,4,14,0.065,2487,1651,464,30258,0.15209,90.5,0.065,0.2624,0.3451,-0.1186
insiib05z27t,user_7q8p4w3c,44,44,3,7,0.7558,3134,958,731,48680,0.09907,75.8,0.7558,0.1292,0.6693,0.2955
e6rc1tazqq8d,user_wxxcbas9,45,45,8,4,-0.2964,896,308,949,78810,0.02731,48.0,-0.2964,0.0081,0.0434,-0.1659
z33gsi0f3qzk,user_ul2vi1ic,46,46,8,6,-0.7391,3073,1101,964,68457,0.07505,-95.0,-0.7391,0.0575,-0.3978,-0.0701
y5s5uvkss1nb,user_sgahdste,47,47,1,8,0.4544,3750,216,641,15193,0.30323,-8.0,0.4544,0.8924,0.5095,-0.0406
i3okbf14iilu,user_790dw1c4,48,48,2,6,-0.7748,2264,862,106,41407,0.07805,89.5,-0.7748,0.7995,0.5378,-0.3747
hw285tvtxgjc,user_uj8uec7a,49,49,8,3,-0.7418,3357,1756,799,46507,0.12712,83.7,-0.7418,0.9167,-0.5029,0.3447
djm4xrmdx7vt,user_99wi3at0,50,50,3,3,-0.6483,1531,1742,96,18438,0.18272,21.4,-0.6483,0.0647,-0.6517,0.1257
rqd62nbcvdre,user_l35h2ubs,51,51,9,11,0.0485,4898,1176,394,11286,0.57309,80.9,0.0485,0.9762,0.5104,-0.371
0pw0ln6h0i64,user_t85947wb,52,52,7,7,0.4277,2933,1451,692,84337,0.06018,-80.6,0.4277,0.692,0.2678,0.1882
h8ycp5acj6p3,user_d2476w2q,53,53,4,13,0.1578,1863,1354,86,30631,0.10783,22.0,0.1578,0.4566,-0.8308,0.2832
wqs3fsgie17v,user_rc5hfra3,54,54,3,2,-0.5245,873,1489,286,77727,0.03406,-23.8,-0.5245,0.6822,-0.8569,0.1163
smm69bru1pi9,user_jr4fmzrg,55,55,8,2,-0.748,1233,1241,55,92189,0.02743,-11.7,-0.748,0.7613,0.4063,0.4462
obkk56gf4cu2,user_tn6ipb9e,56,56,7,8,0.8318,4977,541,749,28526,0.21969,39.9,0.8318,0.0529,0.2999,-0.2063
8gnl0ri4ubue,user_bam3rsbd,57,57,6,9,0.8516,2392,744,997,10531,0.39246,76.6,0.8516,0.1856,-0.9679,-0.4316
d09worvhz9me,user_x6boucsi,58,58,2,15,-0.1638,3095,1243,139,72411,0.06182,-30.6,-0.1638,0.7886,-0.9133,-0.3477
gnq7d8gvai2q,user_mxeirvia,59,59,5,3,-0.6893,1394,960,395,93119,0.02952,59.3,-0.6893,0.6577,0.1306,-0.1895
2xwk49f5w579,user_nw5hh569,60,60,9,6,-0.7663,1615,115,380,51580,0.0409,62.4,-0.7663,0.6328,-0.8388,0.2576
398vsatgavqy,user_e6fba8wp,61,61,9,8,0.5691,4799,513,832,76711,0.08009,-84.7,0.5691,0.0964,-0.7208,0.1912
escuqarpf9pp,user_o4tzj9ej,62,62,1,2,-0.7661,4909,643,0,61561,0.09018,-1.1,-0.7661,0.6603,-0.1579,-0.031
zj6vjbcjj9oy,user_78erzxgo,63,63,3,8,0.9376,2925,451,90,82401,0.04206,56.3,0.9376,0.8496,0.2992,0.0693
gjtl28wljxhw,user_4xle01hd,64,64,9,2,-0.7091,4168,442,947,48066,0.11561,48.5,-0.7091,0.189,0.7059,0.0381
a66602egyiba,user_5csrmvvz,65,65,8,4,-0.6989,1910,1139,780,52578,0.07282,54.7,-0.6989,0.8636,0.2475,0.4634
b23jrpovybrc,user_f2x2n3d0,66,66,5,3,-0.3338,1014,1207,418,88024,0.02998,40.8,-0.3338,0.2415,0.1144,0.095
8kmf6iwx9w6r,user_51mevems,67,67,3,6,-0.407,3038,377,594,72344,0.05541,56.8,-0.407,0.6228,0.0405,0.2115
xnmd2a4dc1fz,user_c4p2gvsb,68,68,6,14,0.035,4110,1785,982,76590,0.08978,74.2,0.035,0.1197,0.819,-0.2587
grztbvii0yhg,user_3zexbnty,69,69,4,9,0.9865,1416,1258,621,34605,0.09521,-52.3,0.9865,0.9761,0.9978,-0.0758
evc0g7g5lx8m,user_47nkohbf,70,70,2,4,-0.6202,1310,1810,258,27005,0.12508,-34.0,-0.6202,0.0905,-0.2848,0.3828
l0gxlyb3ko4e,user_k9blda2m,71,71,9,4,-0.6921,2351,200,614,70872,0.04465,-94.4,-0.6921,0.8013,0.5483,0.353
ega4olj00meh,user_odhvbdjk,72,72,10,7,0.5559,170,356,616,18537,0.0616,-9.9,0.5559,0.4056,-0.4061,-0.2239
hit3hd69vh4w,user_not5b1vu,73,73,8,9,0.4942,2883,367,410,94564,0.0387,-12.4,0.4942,0.2675,0.4372,-0.4167
vplt1688u7ew,user_8o1j1dkx,74,74,4,3,-0.9722,3138,1814,872,94777,0.06144,-94.9,-0.9722,0.51,-0.1004,0.1808
