time_id,timestamp,day_of_week
1,2024-12-09 11:26:15,Monday
2,2024-07-28 19:59:26,Sunday
3,2024-11-23 14:00:12,Saturday
4,2024-09-16 04:35:25,Monday
5,2024-09-05 21:03:01,Thursday
6,2024-07-28 03:21:09,Sunday
7,2024-08-21 17:02:47,Wednesday
8,2025-01-27 16:09:54,Monday
9,2024-11-29 17:03:41,Friday
10,2025-02-27 23:21:02,Thursday
11,2024-07-24 04:26:23,Wednesday
12,2024-05-26 13:04:10,Sunday
13,2024-12-27 12:51:45,Friday
14,2024-09-29 19:20:58,Sunday
15,2024-08-30 02:56:16,Friday
16,2025-03-08 19:17:54,Saturday
17,2024-10-09 09:30:40,Wednesday
18,2024-06-27 05:16:23,Thursday
19,2024-09-04 07:07:48,Wednesday
20,2024-05-18 16:33:11,Saturday
21,2024-05-03 17:43:21,Friday
22,2024-09-26 03:43:48,Thursday
23,2024-10-23 05:30:02,Wednesday
24,2024-12-12 06:07:17,Thursday
25,2024-05-27 10:46:09,Monday
26,2024-08-18 04:27:40,Sunday
27,2025-03-31 23:56:03,Monday
28,2024-10-15 05:09:16,Tuesday
29,2024-05-18 10:06:53,Saturday
30,2024-06-05 02:01:19,Wednesday
31,2025-02-14 15:09:30,Friday
32,2024-05-04 01:07:29,Saturday
33,2025-04-23 06:53:34,Wednesday
34,2025-01-25 23:02:17,Saturday
35,2024-10-23 23:01:44,Wednesday
36,2024-12-02 18:08:08,Monday
37,2024-10-08 05:45:55,Tuesday
38,2025-01-02 04:25:39,Thursday
39,2024-09-15 01:01:03,Sunday
40,2024-06-17 09:00:52,Monday
41,2024-08-04 05:15:35,Sunday
42,2024-11-01 14:16:25,Friday
43,2025-02-26 18:16:28,Wednesday
44,2024-07-09 10:43:09,Tuesday
45,2024-10-15 05:55:45,Tuesday
46,2024-12-13 18:06:45,Friday
47,2024-09-19 23:18:32,Thursday
48,2025-03-13 12:15:43,Thursday
49,2024-09-24 07:21:44,Tuesday
50,2024-08-26 21:21:05,Monday
51,2024-10-28 01:53:56,Monday
52,2024-12-30 00:28:04,Monday
53,2024-10-09 14:02:45,Wednesday
54,2024-05-20 13:03:06,Monday
